timestamp,loop_hz,mode,speed_pwm,steer_deg,yaw_deg,roll_deg,pitch_deg,accel_fwd_ms2,accel_lat_ms2,accel_vrt_ms2,velocity_fwd_ms,displacement_fwd_m,car_x,car_y,lane_anchor,target_x,lateral_err_px,lane_confidence,active_sign,yolo_labels
14:46:00.241,0.5,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,320.0,0.0,0.0,,
14:46:01.295,8.0,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,CENTER_DUAL,310.2,-9.8,1.0,,
14:46:02.358,9.5,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,CENTER_DUAL,308.1,-11.9,1.0,,
14:46:03.441,10.5,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,CENTER_DUAL,311.2,-8.8,1.0,,
14:46:04.495,10.2,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,CENTER_DUAL,312.5,-7.5,1.0,,
14:46:05.508,10.6,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,9.62,CENTER_DUAL,312.7,-7.3,1.0,,
14:46:06.597,11.3,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,312.8,-7.2,1.0,,
14:46:07.634,10.1,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,312.9,-7.1,1.0,,
14:46:08.698,7.0,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,312.8,-7.2,1.0,,
14:46:09.783,5.7,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,312.4,-7.6,1.0,,
14:46:10.848,11.7,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,316.1,-3.9,1.0,,
14:46:11.946,10.6,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,319.3,-0.7,1.0,,
14:46:12.978,12.0,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,319.4,-0.6,1.0,,
14:46:14.017,10.7,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,320.2,0.2,1.0,,
14:46:15.063,10.5,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,320.8,0.8,1.0,,
14:46:16.092,10.6,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,320.9,0.9,1.0,,
14:46:17.116,10.4,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,320.7,0.7,1.0,,
14:46:18.144,12.7,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,320.5,0.5,1.0,,
14:46:19.212,10.6,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,317.6,-2.4,1.0,,
14:46:20.300,10.7,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,303.5,-16.5,1.0,,
14:46:21.323,10.7,MANUAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,10.19,CENTER_DUAL,272.5,-47.5,1.0,,
