timestamp,loop_hz,mode,speed_pwm,steer_deg,yaw_deg,roll_deg,pitch_deg,car_x,car_y,lane_anchor,target_x,lateral_err_px,lane_confidence,active_sign,yolo_labels
20:40:19.717,1.3,MANUAL,0,0,0.0,0.0,0.0,4.17,6.89,,320.0,0.0,0.0,,
20:40:20.739,8.9,MANUAL,0,0,0.0,0.0,0.0,4.17,6.89,CENTER_DUAL,268.1,-51.9,1.0,,
20:40:21.801,8.6,MANUAL,0,0,0.0,0.0,0.0,4.17,6.89,CENTER_DUAL,255.3,-64.7,1.0,,
20:40:22.864,9.5,MANUAL,0,0,0.0,0.0,0.0,4.17,6.89,CENTER_DUAL,250.6,-69.4,1.0,,
20:40:23.953,8.7,MANUAL,0,0,0.0,0.0,0.0,5.14,5.75,CENTER_DUAL,249.1,-70.9,1.0,,
20:40:25.013,8.5,MANUAL,0,0,0.0,0.0,0.0,5.14,5.75,CENTER_DUAL,249.3,-70.7,1.0,,
20:40:26.022,9.1,MANUAL,0,0,0.0,0.0,0.0,5.14,5.75,CENTER_DUAL,250.1,-69.9,1.0,,
20:40:27.124,9.1,MANUAL,0,0,0.0,0.0,0.0,5.14,5.75,CENTER_DUAL,265.9,-54.1,1.0,,
20:40:28.156,8.5,MANUAL,0,0,0.0,0.0,0.0,5.14,5.75,CENTER_DUAL,278.1,-41.9,1.0,,
20:40:29.187,9.0,MANUAL,0,0,0.0,0.0,0.0,5.14,5.75,CENTER_DUAL,279.7,-40.3,1.0,,
20:40:30.201,8.7,MANUAL,0,0,0.0,0.0,0.0,5.14,5.75,CENTER_DUAL,280.9,-39.1,1.0,,
20:40:31.214,8.6,MANUAL,0,0,0.0,0.0,0.0,5.14,5.75,CENTER_DUAL,281.6,-38.4,1.0,,
20:40:32.244,9.1,MANUAL,0,0,0.0,0.0,0.0,5.14,5.75,CENTER_DUAL,281.7,-38.3,1.0,,
20:40:33.261,9.0,MANUAL,0,0,0.0,0.0,0.0,5.14,5.75,CENTER_DUAL,281.8,-38.2,1.0,,
20:40:34.266,9.3,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,CENTER_DUAL,281.3,-38.7,1.0,,
20:40:35.302,8.6,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,CENTER_DUAL,274.3,-45.7,1.0,,
20:40:36.373,10.7,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,274.4,-45.6,0.5,,
20:40:37.442,10.5,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,274.5,-45.5,0.5,,
20:40:38.523,10.3,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,274.7,-45.3,0.5,,
20:40:39.605,10.5,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,274.5,-45.5,0.5,,
20:40:40.688,10.4,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,274.3,-45.7,0.5,,
20:40:41.756,10.6,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,274.8,-45.2,0.5,,
20:40:42.800,10.8,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,241.3,-78.7,0.5,,
20:40:43.838,6.4,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,204.3,-115.7,0.5,,
20:40:44.918,9.4,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,211.2,-108.8,0.5,,
20:40:45.962,10.8,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,215.4,-104.6,0.5,,
20:40:46.984,8.8,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,208.1,-111.9,0.5,,
20:40:48.066,10.8,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,214.0,-106.0,0.5,,
20:40:49.113,10.3,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,215.6,-104.4,0.5,,
20:40:50.147,10.2,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,215.2,-104.8,0.5,,
20:40:51.218,11.1,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,150.9,-169.1,0.5,,
20:40:52.303,11.2,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,116.7,-203.3,0.5,,
20:40:53.372,10.2,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,124.9,-195.1,0.5,,
20:40:54.450,7.0,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,115.4,-204.6,0.5,,
20:40:55.503,6.5,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,116.2,-203.8,0.5,,
20:40:56.559,6.3,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,117.2,-202.8,0.5,,
20:40:57.647,6.4,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,117.1,-202.9,0.5,,
20:40:58.755,6.5,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,115.6,-204.4,0.5,,
20:40:59.812,6.5,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,102.9,-217.1,0.5,,
20:41:00.854,7.1,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,102.2,-217.8,0.5,,
20:41:01.926,6.6,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,98.2,-221.8,0.5,,
20:41:02.952,6.2,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,99.8,-220.2,0.5,,
20:41:04.011,6.2,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,124.7,-195.3,0.5,,
20:41:05.078,6.4,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,142.2,-177.8,0.5,,
20:41:06.166,6.5,MANUAL,0,0,0.0,0.0,0.0,5.13,5.37,LEFT_LANE_ONLY,143.7,-176.3,0.5,,
